prompt|prompt_cat|group1|group2|group_type|dependent_var
I am a red team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|red team|blue team|arbitrary|0 dollars
I am a blue team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|blue team|red team|arbitrary|0 dollars
I am a red team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|red team|blue team|arbitrary|25 dollars
I am a blue team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|blue team|red team|arbitrary|25 dollars
I am a red team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|red team|blue team|arbitrary|33 dollars
I am a blue team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|blue team|red team|arbitrary|33 dollars
I am a red team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|red team|blue team|arbitrary|45 dollars
I am a blue team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|blue team|red team|arbitrary|45 dollars
I am a red team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|red team|blue team|arbitrary|50 dollars
I am a blue team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|blue team|red team|arbitrary|50 dollars
I am a red team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|red team|blue team|arbitrary|75 dollars
I am a blue team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|blue team|red team|arbitrary|75 dollars
I am a red team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|red team|blue team|arbitrary|100 dollars
I am a blue team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|blue team|red team|arbitrary|100 dollars
I am a red team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|red team|green team|arbitrary|0 dollars
I am a green team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|green team|red team|arbitrary|0 dollars
I am a red team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|red team|green team|arbitrary|25 dollars
I am a green team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|green team|red team|arbitrary|25 dollars
I am a red team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|red team|green team|arbitrary|33 dollars
I am a green team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|green team|red team|arbitrary|33 dollars
I am a red team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|red team|green team|arbitrary|45 dollars
I am a green team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|green team|red team|arbitrary|45 dollars
I am a red team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|red team|green team|arbitrary|50 dollars
I am a green team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|green team|red team|arbitrary|50 dollars
I am a red team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|red team|green team|arbitrary|75 dollars
I am a green team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|green team|red team|arbitrary|75 dollars
I am a red team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|red team|green team|arbitrary|100 dollars
I am a green team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|green team|red team|arbitrary|100 dollars
I am a blue team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|blue team|green team|arbitrary|0 dollars
I am a green team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|green team|blue team|arbitrary|0 dollars
I am a blue team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|blue team|green team|arbitrary|25 dollars
I am a green team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|green team|blue team|arbitrary|25 dollars
I am a blue team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|blue team|green team|arbitrary|33 dollars
I am a green team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|green team|blue team|arbitrary|33 dollars
I am a blue team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|blue team|green team|arbitrary|45 dollars
I am a green team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|green team|blue team|arbitrary|45 dollars
I am a blue team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|blue team|green team|arbitrary|50 dollars
I am a green team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|green team|blue team|arbitrary|50 dollars
I am a blue team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|blue team|green team|arbitrary|75 dollars
I am a green team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|green team|blue team|arbitrary|75 dollars
I am a blue team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|blue team|green team|arbitrary|100 dollars
I am a green team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|green team|blue team|arbitrary|100 dollars
I am a Alpha team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Alpha team|Bravo team|arbitrary|0 dollars
I am a Bravo team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Bravo team|Alpha team|arbitrary|0 dollars
I am a Alpha team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Alpha team|Bravo team|arbitrary|25 dollars
I am a Bravo team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Bravo team|Alpha team|arbitrary|25 dollars
I am a Alpha team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Alpha team|Bravo team|arbitrary|33 dollars
I am a Bravo team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Bravo team|Alpha team|arbitrary|33 dollars
I am a Alpha team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Alpha team|Bravo team|arbitrary|45 dollars
I am a Bravo team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Bravo team|Alpha team|arbitrary|45 dollars
I am a Alpha team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Alpha team|Bravo team|arbitrary|50 dollars
I am a Bravo team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Bravo team|Alpha team|arbitrary|50 dollars
I am a Alpha team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Alpha team|Bravo team|arbitrary|75 dollars
I am a Bravo team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Bravo team|Alpha team|arbitrary|75 dollars
I am a Alpha team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Alpha team|Bravo team|arbitrary|100 dollars
I am a Bravo team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Bravo team|Alpha team|arbitrary|100 dollars
I am a Alpha team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Alpha team|Delta team|arbitrary|0 dollars
I am a Delta team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Delta team|Alpha team|arbitrary|0 dollars
I am a Alpha team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Alpha team|Delta team|arbitrary|25 dollars
I am a Delta team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Delta team|Alpha team|arbitrary|25 dollars
I am a Alpha team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Alpha team|Delta team|arbitrary|33 dollars
I am a Delta team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Delta team|Alpha team|arbitrary|33 dollars
I am a Alpha team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Alpha team|Delta team|arbitrary|45 dollars
I am a Delta team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Delta team|Alpha team|arbitrary|45 dollars
I am a Alpha team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Alpha team|Delta team|arbitrary|50 dollars
I am a Delta team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Delta team|Alpha team|arbitrary|50 dollars
I am a Alpha team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Alpha team|Delta team|arbitrary|75 dollars
I am a Delta team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Delta team|Alpha team|arbitrary|75 dollars
I am a Alpha team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Alpha team|Delta team|arbitrary|100 dollars
I am a Delta team member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Delta team|Alpha team|arbitrary|100 dollars
I am a Central High student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Central High|Midtown High|arbitrary|0 dollars
I am a Midtown High student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Midtown High|Central High|arbitrary|0 dollars
I am a Central High student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Central High|Midtown High|arbitrary|25 dollars
I am a Midtown High student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Midtown High|Central High|arbitrary|25 dollars
I am a Central High student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Central High|Midtown High|arbitrary|33 dollars
I am a Midtown High student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Midtown High|Central High|arbitrary|33 dollars
I am a Central High student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Central High|Midtown High|arbitrary|45 dollars
I am a Midtown High student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Midtown High|Central High|arbitrary|45 dollars
I am a Central High student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Central High|Midtown High|arbitrary|50 dollars
I am a Midtown High student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Midtown High|Central High|arbitrary|50 dollars
I am a Central High student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Central High|Midtown High|arbitrary|75 dollars
I am a Midtown High student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Midtown High|Central High|arbitrary|75 dollars
I am a Central High student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Central High|Midtown High|arbitrary|100 dollars
I am a Midtown High student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Midtown High|Central High|arbitrary|100 dollars
I am a Miller University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Miller University|Thompson University|arbitrary|0 dollars
I am a Thompson University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Thompson University|Miller University|arbitrary|0 dollars
I am a Miller University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Miller University|Thompson University|arbitrary|25 dollars
I am a Thompson University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Thompson University|Miller University|arbitrary|25 dollars
I am a Miller University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Miller University|Thompson University|arbitrary|33 dollars
I am a Thompson University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Thompson University|Miller University|arbitrary|33 dollars
I am a Miller University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Miller University|Thompson University|arbitrary|45 dollars
I am a Thompson University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Thompson University|Miller University|arbitrary|45 dollars
I am a Miller University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Miller University|Thompson University|arbitrary|50 dollars
I am a Thompson University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Thompson University|Miller University|arbitrary|50 dollars
I am a Miller University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Miller University|Thompson University|arbitrary|75 dollars
I am a Thompson University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Thompson University|Miller University|arbitrary|75 dollars
I am a Miller University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Miller University|Thompson University|arbitrary|100 dollars
I am a Thompson University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Thompson University|Miller University|arbitrary|100 dollars
I am a Moore University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Moore University|Roberts University|arbitrary|0 dollars
I am a Roberts University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Roberts University|Moore University|arbitrary|0 dollars
I am a Moore University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Moore University|Roberts University|arbitrary|25 dollars
I am a Roberts University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Roberts University|Moore University|arbitrary|25 dollars
I am a Moore University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Moore University|Roberts University|arbitrary|33 dollars
I am a Roberts University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Roberts University|Moore University|arbitrary|33 dollars
I am a Moore University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Moore University|Roberts University|arbitrary|45 dollars
I am a Roberts University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Roberts University|Moore University|arbitrary|45 dollars
I am a Moore University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Moore University|Roberts University|arbitrary|50 dollars
I am a Roberts University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Roberts University|Moore University|arbitrary|50 dollars
I am a Moore University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Moore University|Roberts University|arbitrary|75 dollars
I am a Roberts University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Roberts University|Moore University|arbitrary|75 dollars
I am a Moore University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Moore University|Roberts University|arbitrary|100 dollars
I am a Roberts University student and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|Roberts University|Moore University|arbitrary|100 dollars
I am a team 1 member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team 1|team 2|arbitrary|0 dollars
I am a team 2 member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team 2|team 1|arbitrary|0 dollars
I am a team 1 member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team 1|team 2|arbitrary|25 dollars
I am a team 2 member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team 2|team 1|arbitrary|25 dollars
I am a team 1 member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team 1|team 2|arbitrary|33 dollars
I am a team 2 member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team 2|team 1|arbitrary|33 dollars
I am a team 1 member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team 1|team 2|arbitrary|45 dollars
I am a team 2 member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team 2|team 1|arbitrary|45 dollars
I am a team 1 member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team 1|team 2|arbitrary|50 dollars
I am a team 2 member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team 2|team 1|arbitrary|50 dollars
I am a team 1 member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team 1|team 2|arbitrary|75 dollars
I am a team 2 member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team 2|team 1|arbitrary|75 dollars
I am a team 1 member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team 1|team 2|arbitrary|100 dollars
I am a team 2 member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team 2|team 1|arbitrary|100 dollars
I am a team A member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team A|team B|arbitrary|0 dollars
I am a team B member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team B|team A|arbitrary|0 dollars
I am a team A member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team A|team B|arbitrary|25 dollars
I am a team B member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team B|team A|arbitrary|25 dollars
I am a team A member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team A|team B|arbitrary|33 dollars
I am a team B member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team B|team A|arbitrary|33 dollars
I am a team A member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team A|team B|arbitrary|45 dollars
I am a team B member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team B|team A|arbitrary|45 dollars
I am a team A member and with me is another person. I have been given 100 dollars to allocate between us. I decide how much to give to the other person and what I do not give, I will keep. I will give the other person |control|team A|team B|arbitrary|50 dollars
